mean,std,50%,chb,channel
0.6945652173913043,0.04542276455202066,0.7065217391304348,18,0
0.8244565217391304,0.021530751874723662,0.8260869565217391,18,1
0.8983695652173912,0.03256576120873223,0.9021739130434783,18,2
0.9505434782608695,0.017086502343431967,0.9565217391304348,18,3
0.7358695652173913,0.036495986343734695,0.7445652173913043,18,4
0.7815217391304348,0.047168877395236945,0.782608695652174,18,5
0.9043478260869564,0.029208713432877183,0.9021739130434783,18,6
0.9402173913043477,0.020411399055962568,0.9402173913043479,18,7
0.7597826086956523,0.03696998005047936,0.7608695652173914,18,8
0.8461956521739131,0.03915505835986788,0.8478260869565217,18,9
0.9097826086956522,0.03096546164590133,0.9076086956521738,18,10
0.9043478260869564,0.02605833670344434,0.9021739130434783,18,11
0.6788043478260869,0.039186807854936515,0.6847826086956522,18,12
0.7657608695652175,0.04297115598563318,0.7608695652173914,18,13
0.9831521739130435,0.013417130880133105,0.9836956521739131,18,14
0.9391304347826088,0.018119755510141104,0.9402173913043479,18,15
0.7228260869565217,0.04550482923419743,0.7336956521739131,18,16
0.8804347826086957,0.030336552822798284,0.8858695652173914,18,17
