mean,std,50%,chb,channel
0.8787096774193548,0.02289138602123915,0.8838709677419355,13,0
0.8896774193548387,0.018355645814904394,0.8903225806451613,13,1
0.8587096774193551,0.016732349532979703,0.8580645161290322,13,2
0.8209677419354838,0.02783810865619042,0.8225806451612903,13,3
0.8370967741935482,0.02922029278955036,0.8354838709677419,13,4
0.9200000000000003,0.01653479420689517,0.9225806451612903,13,5
0.6758064516129033,0.03714288121648095,0.6870967741935483,13,6
0.7770967741935484,0.03306130673065382,0.7806451612903226,13,7
0.8412903225806451,0.024624903896034424,0.8419354838709677,13,8
0.7893548387096774,0.027313788592290944,0.7903225806451613,13,9
0.6516129032258065,0.03595154073362696,0.6580645161290323,13,10
0.801290322580645,0.027737591952778574,0.8032258064516129,13,11
0.8038709677419356,0.026260855088802264,0.8129032258064516,13,12
0.8551612903225806,0.023353262804564102,0.8483870967741935,13,13
0.8251612903225807,0.023205046371816057,0.832258064516129,13,14
0.8416129032258064,0.027963736071537206,0.8387096774193549,13,15
0.804516129032258,0.025729937504616215,0.8129032258064516,13,16
0.6432258064516129,0.03452794808990214,0.635483870967742,13,17
