mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,mean_test_score,std_test_score,rank_test_score
40.38557303519476,2.4045983487100027,1.9985438074384416,1.1064581791573371,0.0,{'svc__gamma': 0.0},0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,11
21.0474663348425,1.840082906958567,0.9697710900079637,0.5393314656329905,0.0015,{'svc__gamma': 0.0015},0.6050420168067226,0.7868131868131868,0.84875,0.9509090909090909,0.5096899224806202,0.8688524590163934,0.9770642201834863,0.8449074074074074,0.966183574879227,0.9540816326530612,0.8413978494623656,0.95625,0.7941176470588235,0.8506944444444444,0.8706896551724138,0.8258928571428571,0.9848484848484849,0.9166666666666666,0.9345238095238095,0.3717948717948718,0.36764705882352944,0.8108008026708314,0.18325044428551526,4
18.277216968082246,2.046955038258472,0.8695342200142997,0.5998440644280766,0.003,{'svc__gamma': 0.003},0.6176470588235294,0.7835164835164835,0.84375,0.9418181818181818,0.5135658914728682,0.8688524590163934,0.9724770642201835,0.8287037037037037,0.961352657004831,0.9591836734693877,0.8413978494623656,0.95,0.8137254901960784,0.8645833333333334,0.8663793103448276,0.8303571428571429,0.98989898989899,0.9270833333333334,0.9285714285714286,0.391025641025641,0.36764705882352944,0.8124541309948683,0.17966337844682495,2
19.61831121217637,3.173872482480951,0.8417587393806094,0.37506674895490727,0.0045000000000000005,{'svc__gamma': 0.0045000000000000005},0.6271008403361344,0.7802197802197802,0.835,0.9472727272727273,0.5251937984496124,0.8709016393442623,0.9701834862385321,0.8333333333333334,0.9565217391304348,0.9591836734693877,0.8279569892473119,0.94375,0.8104575163398693,0.8576388888888888,0.8663793103448276,0.8348214285714286,0.98989898989899,0.9322916666666666,0.9404761904761905,0.3974358974358974,0.39705882352941174,0.814432224723509,0.17423230259355205,1
21.48490668478466,1.403541890794516,0.9508611928848993,0.5202154470247041,0.006,{'svc__gamma': 0.006},0.6302521008403361,0.7703296703296704,0.82875,0.9363636363636364,0.5232558139534884,0.8729508196721312,0.9655963302752294,0.8263888888888888,0.9516908212560387,0.9566326530612245,0.8225806451612904,0.934375,0.8104575163398693,0.84375,0.8577586206896551,0.8348214285714286,0.9848484848484849,0.9322916666666666,0.9345238095238095,0.41025641025641024,0.4117647058823529,0.8114113820276481,0.1692399251542288,3
22.16481653849284,1.4775639835369436,0.972133545648484,0.5266731268385935,0.0075,{'svc__gamma': 0.0075},0.6376050420168067,0.7571428571428571,0.81375,0.9290909090909091,0.5174418604651163,0.8770491803278688,0.963302752293578,0.8171296296296297,0.9420289855072463,0.9540816326530612,0.8172043010752689,0.91875,0.8235294117647058,0.8368055555555556,0.8491379310344828,0.8348214285714286,0.9646464646464646,0.9427083333333334,0.9345238095238095,0.3974358974358974,0.4117647058823529,0.8066643184738272,0.1688995423163532,5
22.985714605876378,1.4857036700716455,1.0065692719959078,0.5464974125589327,0.009000000000000001,{'svc__gamma': 0.009000000000000001},0.6407563025210085,0.7505494505494505,0.81125,0.9272727272727272,0.5174418604651163,0.8790983606557377,0.9587155963302753,0.8148148148148148,0.9347826086956522,0.951530612244898,0.8118279569892473,0.9125,0.8398692810457516,0.8298611111111112,0.8405172413793104,0.84375,0.9595959595959596,0.9270833333333334,0.9345238095238095,0.391025641025641,0.4117647058823529,0.804215779687438,0.16803156132895447,6
23.908037265141804,1.7531445422219656,1.0387798490978422,0.5556338605693104,0.0105,{'svc__gamma': 0.0105},0.6407563025210085,0.7461538461538462,0.8,0.9090909090909091,0.5155038759689923,0.8790983606557377,0.9518348623853211,0.8101851851851852,0.9299516908212561,0.9591836734693877,0.8064516129032258,0.896875,0.8431372549019608,0.8229166666666666,0.8189655172413793,0.84375,0.9545454545454546,0.9375,0.9345238095238095,0.38461538461538464,0.4117647058823529,0.7998478148824701,0.16775573368572858,7
24.879464717138383,1.7395309479635475,1.0773911362602597,0.5845905027211483,0.012,{'svc__gamma': 0.012},0.634453781512605,0.7406593406593407,0.79125,0.8981818181818182,0.5155038759689923,0.8770491803278688,0.944954128440367,0.8055555555555556,0.9251207729468599,0.9642857142857143,0.7983870967741935,0.8875,0.8333333333333334,0.8159722222222222,0.8146551724137931,0.8392857142857143,0.9494949494949495,0.9322916666666666,0.9226190476190477,0.36538461538461536,0.4117647058823529,0.7937001281883814,0.1684180563878575,8
25.76910620643979,1.708220649403833,1.1102784361158098,0.6058988846713326,0.0135,{'svc__gamma': 0.0135},0.6439075630252101,0.7318681318681318,0.79,0.8836363636363637,0.5193798449612403,0.8586065573770492,0.9288990825688074,0.8032407407407407,0.927536231884058,0.9617346938775511,0.7983870967741935,0.853125,0.8431372549019608,0.8159722222222222,0.8060344827586207,0.8392857142857143,0.9393939393939394,0.9322916666666666,0.9285714285714286,0.36538461538461536,0.39705882352941174,0.7889262597346631,0.1670462172901025,9
