chb,all channels,2_3_6_7_14_15 channels,2_3_6_7_14_15_5_1 channels
1.0,0.8564814814814815,0.8032407407407407,0.8055555555555556
2.0,0.8035714285714286,0.9166666666666666,0.9345238095238095
3.0,0.9336734693877551,0.9413265306122449,0.951530612244898
4.0,0.8279569892473119,0.8440860215053764,0.8333333333333334
5.0,0.9327272727272727,0.9436363636363636,0.9236363636363636
6.0,0.45588235294117646,0.4852941176470588,0.47794117647058826
7.0,0.959375,0.94375,0.95625
8.0,0.721978021978022,0.643956043956044,0.6648351648351648
9.0,0.5666666666666667,0.5851851851851851,0.5777777777777777
10.0,0.8899082568807339,0.9243119266055045,0.9380733944954128
11.0,0.9025,0.83625,0.8625
12.0,0.6102941176470589,0.6081932773109243,0.6029411764705882
13.0,0.7131782945736435,0.5717054263565892,0.6046511627906976
14.0,0.4358974358974359,0.38461538461538464,0.3974358974358974
15.0,0.6741071428571429,0.7544642857142857,0.7053571428571429
16.0,0.29411764705882354,0.3382352941176471,0.3382352941176471
17.0,0.8680555555555556,0.8576388888888888,0.8541666666666666
18.0,0.8300653594771242,0.8398692810457516,0.8202614379084967
19.0,0.9267241379310345,0.8706896551724138,0.8793103448275862
20.0,0.7077464788732394,0.8450704225352113,0.8169014084507042
21.0,0.7552083333333334,0.9010416666666666,0.8697916666666666
22.0,0.9646464646464646,0.9595959595959596,0.9747474747474747
23.0,0.9178743961352657,0.9685990338164251,0.9541062801932367
24.0,0.8852459016393442,0.8831967213114754,0.8709016393442623
