mean,std,50%,chb,channel
0.9271604938271606,0.023662786864005754,0.9259259259259259,09,0
0.961111111111111,0.020137185030952263,0.9629629629629629,09,1
0.9765432098765432,0.014933464662451828,0.9753086419753086,09,2
0.9660493827160492,0.011932662555040252,0.9629629629629629,09,3
0.9475308641975309,0.020374800156302986,0.9506172839506173,09,4
0.9685185185185186,0.013568427723426797,0.9629629629629629,09,5
0.9716049382716049,0.0160718591052532,0.9753086419753086,09,6
0.9598765432098768,0.015448334539270615,0.9629629629629629,09,7
0.9808641975308643,0.014703392998922968,0.9814814814814814,09,8
0.9851851851851853,0.014217998073146568,0.9876543209876543,09,9
0.9481481481481481,0.02321789362872233,0.9629629629629629,09,10
0.9716049382716049,0.013344879846285964,0.9753086419753086,09,11
0.9320987654320987,0.016270284633591824,0.9382716049382716,09,12
0.9598765432098764,0.019157274837953944,0.9629629629629629,09,13
0.9845679012345678,0.010502423570659265,0.9876543209876543,09,14
0.9629629629629628,0.013284631774048644,0.9629629629629629,09,15
0.9734567901234568,0.016158970090747307,0.9753086419753086,09,16
0.9765432098765432,0.013224109218859194,0.9753086419753086,09,17
