,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3823526382446289,0.04553134247796082,0.04553215503692627,0.01600090842128827,0.5,scale,"{'svc__C': 0.5, 'svc__gamma': 'scale'}",0.7769230769230769,0.8262548262548263,0.8648648648648649,0.8416988416988417,0.8571428571428571,0.8494208494208494,0.8108108108108109,0.8378378378378378,0.8494208494208494,0.8146718146718147,0.832904662904663,0.025009839164688442,34
1,0.3213739633560181,0.029744761558338013,0.038491344451904295,0.0022724342321377195,0.5,auto,"{'svc__C': 0.5, 'svc__gamma': 'auto'}",0.7769230769230769,0.8262548262548263,0.8648648648648649,0.8416988416988417,0.8571428571428571,0.8494208494208494,0.8108108108108109,0.8378378378378378,0.8494208494208494,0.8146718146718147,0.832904662904663,0.025009839164688442,34
2,0.5071420431137085,0.05691948517101988,0.04723391532897949,0.01435684200933785,0.5,0.01,"{'svc__C': 0.5, 'svc__gamma': 0.01}",0.5230769230769231,0.528957528957529,0.5598455598455598,0.555984555984556,0.5945945945945946,0.5791505791505791,0.5405405405405406,0.5637065637065637,0.5675675675675675,0.5444015444015444,0.5557825957825957,0.02102795997438074,40
3,0.3020474433898926,0.023032808147859667,0.03746242523193359,0.003666813758693604,0.5,0.1,"{'svc__C': 0.5, 'svc__gamma': 0.1}",0.7846153846153846,0.8571428571428571,0.888030888030888,0.8764478764478765,0.8764478764478765,0.888030888030888,0.8416988416988417,0.8687258687258688,0.8803088803088803,0.861003861003861,0.8622453222453222,0.02928762019271856,33
4,0.30098824501037597,0.056671840251473586,0.04287552833557129,0.016676725177726774,0.5,0.25,"{'svc__C': 0.5, 'svc__gamma': 0.25}",0.8769230769230769,0.9034749034749034,0.9305019305019305,0.9420849420849421,0.918918918918919,0.9266409266409267,0.8918918918918919,0.9073359073359073,0.9305019305019305,0.915057915057915,0.9143332343332343,0.01880437016254257,24
5,0.38427774906158446,0.09258122878312483,0.04247403144836426,0.022229218489862708,0.5,0.5,"{'svc__C': 0.5, 'svc__gamma': 0.5}",0.9230769230769231,0.9536679536679536,0.9536679536679536,0.9652509652509652,0.9459459459459459,0.9382239382239382,0.9498069498069498,0.9536679536679536,0.9613899613899614,0.9343629343629344,0.9479061479061478,0.012179330007517239,19
6,0.35957396030426025,0.017008015499767142,0.0271883487701416,0.0015555204505710175,0.5,1,"{'svc__C': 0.5, 'svc__gamma': 1}",0.9538461538461539,0.9806949806949807,0.9613899613899614,0.9768339768339769,0.9575289575289575,0.9613899613899614,0.9652509652509652,0.9806949806949807,0.9691119691119691,0.9575289575289575,0.9664270864270865,0.009441500703457171,17
7,0.4172050952911377,0.025024702406031045,0.028386497497558595,0.0018762670100448526,0.5,1.5,"{'svc__C': 0.5, 'svc__gamma': 1.5}",0.9538461538461539,0.9845559845559846,0.9691119691119691,0.972972972972973,0.9575289575289575,0.9498069498069498,0.972972972972973,0.9845559845559846,0.9845559845559846,0.9575289575289575,0.9687436887436889,0.012720347625750092,15
8,0.2686600923538208,0.009339208247146086,0.03610928058624267,0.002025142453181362,1,scale,"{'svc__C': 1, 'svc__gamma': 'scale'}",0.8038461538461539,0.8725868725868726,0.9073359073359073,0.8803088803088803,0.9034749034749034,0.9034749034749034,0.8455598455598455,0.8803088803088803,0.8996138996138996,0.8841698841698842,0.878068013068013,0.030421766988801165,31
9,0.26840012073516845,0.017938837164917714,0.035198521614074704,0.00340237154583809,1,auto,"{'svc__C': 1, 'svc__gamma': 'auto'}",0.8038461538461539,0.8725868725868726,0.9073359073359073,0.8803088803088803,0.9034749034749034,0.9034749034749034,0.8455598455598455,0.8803088803088803,0.8996138996138996,0.8841698841698842,0.878068013068013,0.030421766988801165,31
10,0.43366003036499023,0.03222044263289395,0.040015649795532224,0.002877191323788741,1,0.01,"{'svc__C': 1, 'svc__gamma': 0.01}",0.5846153846153846,0.5945945945945946,0.6254826254826255,0.6138996138996139,0.6602316602316602,0.6332046332046332,0.640926640926641,0.6293436293436293,0.6332046332046332,0.5752895752895753,0.619079299079299,0.02539264375628637,39
11,0.24052877426147462,0.013667694264844423,0.03221139907836914,0.0028182352129127435,1,0.1,"{'svc__C': 1, 'svc__gamma': 0.1}",0.8269230769230769,0.8996138996138996,0.8957528957528957,0.9111969111969112,0.9073359073359073,0.9111969111969112,0.8957528957528957,0.9266409266409267,0.9227799227799228,0.8996138996138996,0.8996807246807247,0.026284619621318325,30
12,0.22252960205078126,0.014836168822899742,0.027190804481506348,0.0018105827294612388,1,0.25,"{'svc__C': 1, 'svc__gamma': 0.25}",0.9307692307692308,0.9498069498069498,0.9652509652509652,0.9652509652509652,0.9420849420849421,0.9382239382239382,0.9266409266409267,0.972972972972973,0.9536679536679536,0.9420849420849421,0.9486753786753788,0.014725240280867594,18
13,0.24308407306671143,0.02019710211793682,0.02350606918334961,0.0010406207802789117,1,0.5,"{'svc__C': 1, 'svc__gamma': 0.5}",0.9538461538461539,0.9806949806949807,0.9652509652509652,0.9768339768339769,0.9652509652509652,0.9691119691119691,0.972972972972973,0.9806949806949807,0.972972972972973,0.9613899613899614,0.9699019899019901,0.00820989836529023,14
14,0.32409257888793946,0.02189020375539867,0.02288658618927002,0.0019276479885902513,1,1,"{'svc__C': 1, 'svc__gamma': 1}",0.9692307692307692,0.9845559845559846,0.9652509652509652,0.9845559845559846,0.9575289575289575,0.9652509652509652,0.972972972972973,0.9845559845559846,0.9845559845559846,0.9575289575289575,0.9725987525987527,0.010703094608007275,12
15,0.39012391567230226,0.0400062174657141,0.02207942008972168,0.0018899932989421622,1,1.5,"{'svc__C': 1, 'svc__gamma': 1.5}",0.9730769230769231,0.9845559845559846,0.972972972972973,0.9922779922779923,0.9691119691119691,0.972972972972973,0.9768339768339769,0.9884169884169884,0.9884169884169884,0.9613899613899614,0.9780026730026732,0.00945990483285824,7
16,0.23327844142913817,0.01438500452844443,0.033170247077941896,0.004620023377618549,1.5,scale,"{'svc__C': 1.5, 'svc__gamma': 'scale'}",0.8346153846153846,0.8918918918918919,0.9073359073359073,0.9034749034749034,0.918918918918919,0.918918918918919,0.8957528957528957,0.915057915057915,0.918918918918919,0.8996138996138996,0.9004499554499554,0.023923752821590316,28
