,fs13
0,0.6512605042016807
1,0.5703296703296703
2,0.675
3,0.7636363636363637
4,0.3992248062015504
5,0.6188524590163934
6,0.6307339449541285
7,0.6875
8,0.6570048309178744
9,0.6964285714285714
10,0.5967741935483871
11,0.771875
12,0.5098039215686274
13,0.7013888888888888
14,0.7922535211267606
15,0.4888888888888889
16,0.7629310344827587
17,0.375
18,0.6464646464646465
19,0.5
20,0.4226190476190476
21,0.5192307692307693
22,0.4632352941176471
23,0.6323529411764706
