mean,std,50%,chb,channel
0.7872000000000001,0.03844558697555204,0.792,23,0
0.9304,0.023374299876934092,0.936,23,1
0.9827999999999999,0.009456827107828957,0.984,23,2
0.9924,0.006073237236129991,0.992,23,3
0.8051999999999999,0.02612036914384108,0.804,23,4
0.9395999999999998,0.014091430766697563,0.944,23,5
0.9259999999999999,0.013455579942126131,0.928,23,6
0.9463999999999999,0.018187329308296474,0.948,23,7
0.6864,0.02704849446145899,0.688,23,8
0.82,0.02872739385838429,0.828,23,9
0.8468,0.029625024983333886,0.852,23,10
0.8240000000000001,0.02646944613979233,0.82,23,11
0.7132,0.027502344397676733,0.704,23,12
0.8108000000000001,0.028934772379121586,0.816,23,13
0.8916000000000001,0.02178942283238411,0.892,23,14
0.8812000000000001,0.016876018487783202,0.884,23,15
0.868,0.025760026152324113,0.872,23,16
0.8084000000000001,0.0359156907507744,0.82,23,17
