,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07767009735107422,0.04812092441039968,0.0011456012725830078,0.0003886895200988562,logistic,25,constant,0.001,100,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 100, 'solver': 'lbfgs'}",0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,0.8,0.9142857142857143,0.05870870479018071,1893
1,0.08034096445356097,0.006876738858095016,0.0005567755017961774,7.992543407623965e-05,logistic,25,constant,0.001,100,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 100, 'solver': 'sgd'}",0.7333333333333333,0.7333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6761904761904762,0.04259177099999599,2841
2,0.11108091899326869,0.02140578248727068,0.0009203297751290458,0.0003731231595510158,logistic,25,constant,0.001,100,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 100, 'solver': 'adam'}",0.7333333333333333,0.8,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.8,0.7428571428571429,0.04259177099999603,2657
3,0.05599866594587054,0.021313338681132596,0.0008980206080845424,0.00041088068561972454,logistic,25,constant,0.001,150,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 150, 'solver': 'lbfgs'}",1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.8,0.942857142857143,0.06598288790738578,293
4,0.1293300219944545,0.018833441533845585,0.0007206031254359654,0.00033964168292806724,logistic,25,constant,0.001,150,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 150, 'solver': 'sgd'}",0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.6857142857142857,0.04665694748158433,2827
5,0.1656177725110735,0.03307421287974321,0.0009246553693498884,0.0003826004265616933,logistic,25,constant,0.001,150,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 150, 'solver': 'adam'}",0.8,0.8666666666666667,0.7333333333333333,0.8666666666666667,0.6666666666666666,0.6,0.7333333333333333,0.7523809523809524,0.09233675918888248,2640
6,0.07797196933201381,0.03378040426873818,0.0012279578617640904,0.0006230734494221074,logistic,25,constant,0.001,200,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200, 'solver': 'lbfgs'}",1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8,0.9142857142857143,0.05870870479018071,1893
7,0.15515313829694474,0.0046640619023443535,0.0009130069187709264,0.0006343855840365719,logistic,25,constant,0.001,200,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200, 'solver': 'sgd'}",0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6952380952380952,0.03299144395369289,2762
8,0.14721591132027761,0.005229692183943711,0.0006349767957414899,0.00016651410836271893,logistic,25,constant,0.001,200,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.8,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8095238095238095,0.0749905511810649,2530
9,0.04464241436549595,0.015267586989854214,0.0008367810930524554,0.00048182286848329263,logistic,25,constant,0.001,250,lbfgs,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 250, 'solver': 'lbfgs'}",1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,0.9238095238095239,0.05553287518900285,1085
10,0.19477255003792898,0.05034595107794329,0.0007713862827845982,0.0003859207461123909,logistic,25,constant,0.001,250,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 250, 'solver': 'sgd'}",0.7333333333333333,0.8,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7047619047619048,0.04856209060564559,2726
11,0.2906351089477539,0.01991218293292981,0.0009372574942452567,0.0003605702571438832,logistic,25,constant,0.001,250,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 25, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 250, 'solver': 'adam'}",0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.6,0.9333333333333333,0.8666666666666666,0.11268723396380223,2377
