,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3362126350402832,0.06530883685234402,0.018587470054626465,0.00356796712832936,0.5,{'svc__gamma': 0.5},0.9923076923076923,0.9768339768339769,0.9691119691119691,0.9922779922779923,0.9884169884169884,0.9845559845559846,0.9806949806949807,1.0,0.9884169884169884,0.9922779922779923,0.9864894564894566,0.00850500631500604,5
1,0.302051043510437,0.04972337554425331,0.0212188720703125,0.007176229295271063,0.55,{'svc__gamma': 0.55},0.9923076923076923,0.9768339768339769,0.972972972972973,0.9884169884169884,0.9884169884169884,0.9845559845559846,0.9845559845559846,1.0,0.9884169884169884,0.9922779922779923,0.986875556875557,0.007368510330720483,1
2,0.29191253185272215,0.03540659221266556,0.020563650131225585,0.00503037631008692,0.6,{'svc__gamma': 0.6},0.9923076923076923,0.9768339768339769,0.972972972972973,0.9884169884169884,0.9884169884169884,0.9845559845559846,0.9845559845559846,1.0,0.9884169884169884,0.9922779922779923,0.986875556875557,0.007368510330720483,1
3,0.3076975345611572,0.055285028914943427,0.019442653656005858,0.003989643252379721,0.65,{'svc__gamma': 0.65},0.9923076923076923,0.9768339768339769,0.972972972972973,0.9884169884169884,0.9845559845559846,0.9845559845559846,0.9845559845559846,0.9961389961389961,0.9884169884169884,0.9922779922779923,0.9861033561033562,0.006734621064491768,8
4,0.30054655075073244,0.05240541891725626,0.02061882019042969,0.005094239215972133,0.7,{'svc__gamma': 0.7},0.9923076923076923,0.9768339768339769,0.972972972972973,0.9884169884169884,0.9845559845559846,0.9845559845559846,0.9845559845559846,0.9961389961389961,0.9884169884169884,0.9922779922779923,0.9861033561033562,0.006734621064491768,8
5,0.33061695098876953,0.05842178012771977,0.02031214237213135,0.003854858925466064,0.75,{'svc__gamma': 0.75},0.9923076923076923,0.9806949806949807,0.972972972972973,0.9884169884169884,0.9845559845559846,0.9845559845559846,0.9884169884169884,0.9961389961389961,0.9884169884169884,0.9922779922779923,0.986875556875557,0.006275953607161849,1
6,0.328226375579834,0.041609400023379955,0.01914341449737549,0.003240911761119127,0.8,{'svc__gamma': 0.8},0.9923076923076923,0.9806949806949807,0.972972972972973,0.9806949806949807,0.9845559845559846,0.9845559845559846,0.9884169884169884,0.9961389961389961,0.9884169884169884,0.9961389961389961,0.9864894564894564,0.006963000151859366,6
7,0.36078643798828125,0.06528786902386588,0.021164894104003906,0.003708933800307816,0.85,{'svc__gamma': 0.85},0.9923076923076923,0.9806949806949807,0.972972972972973,0.9806949806949807,0.9845559845559846,0.9845559845559846,0.9884169884169884,0.9961389961389961,0.9884169884169884,0.9961389961389961,0.9864894564894564,0.006963000151859366,6
8,0.36605076789855956,0.046227350377087535,0.020727109909057618,0.0030234698723984412,0.9,{'svc__gamma': 0.9},0.9923076923076923,0.9806949806949807,0.9768339768339769,0.9806949806949807,0.9845559845559846,0.9845559845559846,0.9884169884169884,0.9961389961389961,0.9884169884169884,0.9961389961389961,0.986875556875557,0.006275953607161849,1
9,0.3690493106842041,0.056933834912794176,0.020686936378479005,0.0037907062807830635,0.95,{'svc__gamma': 0.95},0.9884615384615385,0.9768339768339769,0.9768339768339769,0.9806949806949807,0.9845559845559846,0.9845559845559846,0.9884169884169884,0.9961389961389961,0.9884169884169884,0.9922779922779923,0.9857187407187409,0.005995913207522212,10
10,0.341581392288208,0.04170541951472461,0.019649791717529296,0.00497373429108032,1.0,{'svc__gamma': 1.0},0.9884615384615385,0.9768339768339769,0.9768339768339769,0.9806949806949807,0.9845559845559846,0.9845559845559846,0.9884169884169884,0.9961389961389961,0.9884169884169884,0.9922779922779923,0.9857187407187409,0.005995913207522212,10
