,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,0.6543045759201049,0.13457413853661762,0.07268619537353516,0.017947437621417674,1,0.01,"{'svc__C': 1, 'svc__gamma': 0.01}",0.6076923076923076,0.5791505791505791,0.6293436293436293,0.6563706563706564,0.6216216216216216,0.6254826254826255,0.555984555984556,0.6254826254826255,0.6293436293436293,0.6177606177606177,0.6148232848232847,0.026861388763945015,39
11,0.35423879623413085,0.0879371066490658,0.05162034034729004,0.023293319764740868,1,0.1,"{'svc__C': 1, 'svc__gamma': 0.1}",0.8884615384615384,0.8764478764478765,0.9034749034749034,0.9343629343629344,0.8764478764478765,0.8996138996138996,0.8918918918918919,0.9111969111969112,0.9034749034749034,0.918918918918919,0.9004291654291654,0.017305627070441053,30
12,0.37723326683044434,0.06457927678277843,0.04527418613433838,0.0186773392248009,1,0.25,"{'svc__C': 1, 'svc__gamma': 0.25}",0.9576923076923077,0.9382239382239382,0.9420849420849421,0.9768339768339769,0.918918918918919,0.9652509652509652,0.9498069498069498,0.9768339768339769,0.9536679536679536,0.9845559845559846,0.9563869913869911,0.019232566571934413,18
13,0.39479718208312986,0.0632970924692773,0.04414362907409668,0.023016797338051818,1,0.5,"{'svc__C': 1, 'svc__gamma': 0.5}",0.9692307692307692,0.9536679536679536,0.9498069498069498,0.9806949806949807,0.9420849420849421,0.9884169884169884,0.9613899613899614,0.9845559845559846,0.9768339768339769,0.9884169884169884,0.9695099495099495,0.016054288898725066,15
14,0.4889610052108765,0.11819939523268812,0.03654811382293701,0.011857695140037068,1,1,"{'svc__C': 1, 'svc__gamma': 1}",0.9769230769230769,0.9768339768339769,0.9575289575289575,0.9806949806949807,0.9613899613899614,0.9845559845559846,0.9613899613899614,0.9884169884169884,0.9806949806949807,0.9884169884169884,0.9756845856845857,0.010928368380835817,10
15,0.5778725385665894,0.06078095503247154,0.03236520290374756,0.011188999464601153,1,1.5,"{'svc__C': 1, 'svc__gamma': 1.5}",0.9846153846153847,0.9961389961389961,0.9613899613899614,0.9768339768339769,0.9652509652509652,0.9806949806949807,0.9575289575289575,0.9884169884169884,0.9768339768339769,0.9961389961389961,0.9783843183843184,0.012947290478895356,7
16,0.32755131721496583,0.07107531122207117,0.03918616771697998,0.0073167115401246065,1.5,scale,"{'svc__C': 1.5, 'svc__gamma': 'scale'}",0.8730769230769231,0.8841698841698842,0.915057915057915,0.9305019305019305,0.8764478764478765,0.8996138996138996,0.888030888030888,0.918918918918919,0.9111969111969112,0.9227799227799228,0.9019795069795068,0.01947742581436465,28
17,0.3411020517349243,0.05673284880929532,0.04305276870727539,0.01868829482726906,1.5,auto,"{'svc__C': 1.5, 'svc__gamma': 'auto'}",0.8730769230769231,0.8841698841698842,0.915057915057915,0.9305019305019305,0.8764478764478765,0.8996138996138996,0.888030888030888,0.918918918918919,0.9111969111969112,0.9227799227799228,0.9019795069795068,0.01947742581436465,28
18,0.5640229701995849,0.08515637543318481,0.05790235996246338,0.015016785634151113,1.5,0.01,"{'svc__C': 1.5, 'svc__gamma': 0.01}",0.6961538461538461,0.6486486486486487,0.6988416988416989,0.7104247104247104,0.6833976833976834,0.6718146718146718,0.6177606177606177,0.6718146718146718,0.6756756756756757,0.6602316602316602,0.6734763884763885,0.02554940842905985,38
19,0.3293447494506836,0.07183695763863214,0.04415252208709717,0.01590518905965052,1.5,0.1,"{'svc__C': 1.5, 'svc__gamma': 0.1}",0.8923076923076924,0.9073359073359073,0.918918918918919,0.9382239382239382,0.8841698841698842,0.9111969111969112,0.9034749034749034,0.9382239382239382,0.9227799227799228,0.9420849420849421,0.915871695871696,0.01884688252537291,24
20,0.2627223491668701,0.06320429795564383,0.03821232318878174,0.016317291499417828,1.5,0.25,"{'svc__C': 1.5, 'svc__gamma': 0.25}",0.9730769230769231,0.9691119691119691,0.9459459459459459,0.9845559845559846,0.9459459459459459,0.9806949806949807,0.9613899613899614,0.9845559845559846,0.9575289575289575,0.9884169884169884,0.9691223641223641,0.015055662563964076,17
21,0.2983577728271484,0.049988402517114235,0.033312010765075686,0.01181446149961471,1.5,0.5,"{'svc__C': 1.5, 'svc__gamma': 0.5}",0.9730769230769231,0.9691119691119691,0.9498069498069498,0.9845559845559846,0.9613899613899614,0.9884169884169884,0.9652509652509652,0.9922779922779923,0.972972972972973,0.9884169884169884,0.9745277695277694,0.013057907860219048,11
22,0.40818018913269044,0.07991914890022242,0.02753260135650635,0.010701388858787781,1.5,1,"{'svc__C': 1.5, 'svc__gamma': 1}",0.9846153846153847,0.9884169884169884,0.9613899613899614,0.9768339768339769,0.9652509652509652,0.9884169884169884,0.9652509652509652,0.9884169884169884,0.9806949806949807,0.9961389961389961,0.9795426195426196,0.011331912348352641,6
23,0.4577552080154419,0.054112481183177776,0.02494800090789795,0.005334821917901127,1.5,1.5,"{'svc__C': 1.5, 'svc__gamma': 1.5}",0.9807692307692307,0.9961389961389961,0.9768339768339769,0.9768339768339769,0.9613899613899614,0.9845559845559846,0.9613899613899614,0.9884169884169884,0.9806949806949807,0.9961389961389961,0.9803163053163052,0.011512279466537016,4
