mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,mean_test_score,std_test_score,rank_test_score
65.94699708620708,14.300674135515905,2.9292673610505604,1.4067518044138165,1.0,1000,"{'C': 1.0, 'cache_size': 1000}",0.7100840336134454,0.7263736263736263,0.89625,0.9218181818181819,0.6046511627906976,0.8934426229508197,0.9472477064220184,0.8726851851851852,0.927536231884058,0.9132653061224489,0.8467741935483871,0.96875,0.8660130718954249,0.8715277777777778,0.9353448275862069,0.8125,0.9696969696969697,0.796875,0.8452380952380952,0.40384615384615385,0.3235294117647059,0.8120690265959144,0.1705636334166357,1
38.61874078568958,10.52298190930736,1.9849382468632288,1.8317973508923415,3.0,1000,"{'C': 3.0, 'cache_size': 1000}",0.7510504201680672,0.689010989010989,0.885,0.9309090909090909,0.5872093023255814,0.8934426229508197,0.9128440366972477,0.8402777777777778,0.9082125603864735,0.9005102040816326,0.8440860215053764,0.96875,0.8856209150326797,0.875,0.9482758620689655,0.65625,0.9696969696969697,0.8177083333333334,0.8571428571428571,0.3974358974358974,0.3382352941176471,0.8026985311734003,0.1722111047140316,2
47.45881087439401,14.308142587630998,1.9761313256763278,0.8234538300462887,5.0,1000,"{'C': 5.0, 'cache_size': 1000}",0.7720588235294118,0.6637362637362637,0.86875,0.9327272727272727,0.5833333333333334,0.8913934426229508,0.8922018348623854,0.8333333333333334,0.8985507246376812,0.8877551020408163,0.8440860215053764,0.9625,0.9019607843137255,0.8715277777777778,0.9482758620689655,0.5044642857142857,0.9646464646464646,0.8489583333333334,0.8571428571428571,0.3717948717948718,0.38235294117647056,0.79435953953798,0.178231352642238,3
61.02449946176438,8.132765191973077,2.7747105076199485,1.3951942062044915,7.0,1000,"{'C': 7.0, 'cache_size': 1000}",0.7699579831932774,0.6505494505494506,0.85875,0.9327272727272727,0.5775193798449613,0.8934426229508197,0.8830275229357798,0.8263888888888888,0.893719806763285,0.8877551020408163,0.8440860215053764,0.9625,0.9183006535947712,0.8576388888888888,0.9482758620689655,0.48214285714285715,0.9646464646464646,0.84375,0.8511904761904762,0.391025641025641,0.38235294117647056,0.7914165636254508,0.1782294450732329,4
62.31930263837179,10.114093236035199,2.670925435565767,1.24777408366118,9.0,1000,"{'C': 9.0, 'cache_size': 1000}",0.7689075630252101,0.6472527472527473,0.8475,0.9345454545454546,0.5658914728682171,0.8934426229508197,0.8646788990825688,0.8310185185185185,0.8913043478260869,0.8826530612244898,0.8440860215053764,0.9625,0.9084967320261438,0.8611111111111112,0.9482758620689655,0.46875,0.9646464646464646,0.84375,0.8571428571428571,0.3974358974358974,0.39705882352941174,0.7895451646076355,0.17707802548324075,5
61.404146262577605,4.348638277876972,2.758616708573841,1.4723733483201389,11.0,1000,"{'C': 11.0, 'cache_size': 1000}",0.7794117647058824,0.6351648351648351,0.845,0.9345454545454546,0.5658914728682171,0.8934426229508197,0.8486238532110092,0.8356481481481481,0.8961352657004831,0.8698979591836735,0.8440860215053764,0.959375,0.9019607843137255,0.8611111111111112,0.9525862068965517,0.45982142857142855,0.9646464646464646,0.8385416666666666,0.8630952380952381,0.3974358974358974,0.39705882352941174,0.7877847628214474,0.1777320840810786,6
60.621446813855854,3.183862613344455,2.7714649609157016,1.5749237615348193,13.0,1000,"{'C': 13.0, 'cache_size': 1000}",0.7867647058823529,0.6296703296703297,0.83375,0.9327272727272727,0.5658914728682171,0.8934426229508197,0.841743119266055,0.8425925925925926,0.8913043478260869,0.8698979591836735,0.8440860215053764,0.959375,0.8986928104575164,0.8611111111111112,0.9612068965517241,0.4419642857142857,0.9646464646464646,0.8333333333333334,0.8690476190476191,0.3974358974358974,0.4117647058823529,0.7871642175549086,0.17802727126478016,7
59.27099948837643,4.178906396644885,2.6477972098759244,1.4169261609929016,15.0,1000,"{'C': 15.0, 'cache_size': 1000}",0.7941176470588235,0.6230769230769231,0.83,0.9363636363636364,0.5581395348837209,0.8934426229508197,0.8394495412844036,0.8379629629629629,0.8864734299516909,0.8673469387755102,0.8413978494623656,0.959375,0.8954248366013072,0.8611111111111112,0.9612068965517241,0.42857142857142855,0.9696969696969697,0.828125,0.8690476190476191,0.40384615384615385,0.4117647058823529,0.7855209908609295,0.17922974343337494,8
60.80787069456918,5.91394505154127,2.6869119008382163,1.374096414717639,17.0,1000,"{'C': 17.0, 'cache_size': 1000}",0.7941176470588235,0.6175824175824176,0.8275,0.9381818181818182,0.5542635658914729,0.8872950819672131,0.8394495412844036,0.8356481481481481,0.8864734299516909,0.8647959183673469,0.8413978494623656,0.959375,0.8986928104575164,0.8611111111111112,0.9568965517241379,0.4107142857142857,0.9646464646464646,0.8385416666666666,0.8690476190476191,0.41025641025641024,0.4117647058823529,0.7841786687334411,0.18036362644723272,9
46.71309699331011,12.41994532533366,2.3735625403267995,1.829495549753899,19.0,1000,"{'C': 19.0, 'cache_size': 1000}",0.7899159663865546,0.6153846153846154,0.825,0.9381818181818182,0.5542635658914729,0.8872950819672131,0.8371559633027523,0.8333333333333334,0.8864734299516909,0.8647959183673469,0.8413978494623656,0.959375,0.8986928104575164,0.8541666666666666,0.9568965517241379,0.4017857142857143,0.9545454545454546,0.8385416666666666,0.8690476190476191,0.41025641025641024,0.4117647058823529,0.7822985781791286,0.1806393303626461,12
