chb,all channels-mean,all channels-std,2_3_6_7_10_14 channels-mean,2_3_6_7_10_14 channels-std,2_3_6_7_10_14_11_14 channels-mean,2_3_6_7_10_14_11_14 channels-std
1.0,0.9546153846153846,0.012944073939071243,0.9484615384615382,0.012503503090573066,0.946153846153846,0.012478570856212502
2.0,0.9382352941176471,0.03134351081302801,0.9647058823529411,0.02956615823235497,0.9666666666666668,0.028521085461652475
3.0,0.9648305084745763,0.017449137486947285,0.9610169491525425,0.012719296073247151,0.9711864406779659,0.013013082982201942
4.0,0.9450892857142857,0.01671010607403109,0.9593749999999999,0.015184098949304012,0.9620535714285714,0.012585302388009457
5.0,0.9681818181818184,0.0121012594951398,0.9766666666666668,0.01308378919146101,0.9736363636363634,0.01216499270483046
7.0,0.9812500000000002,0.017755033879724807,0.9593749999999999,0.025041084662063506,0.9588541666666666,0.0256216122421851
8.0,0.9272893772893773,0.013974857363397016,0.9175824175824177,0.01756714843704293,0.9135531135531136,0.01631233003250055
10.0,0.9553435114503817,0.016103071076128992,0.968702290076336,0.011851808971554778,0.967175572519084,0.013811698715812216
11.0,0.9831249999999999,0.007339286857655016,0.9743749999999999,0.011492671832431007,0.983125,0.005651133250733355
12.0,0.9141608391608391,0.01441533736868607,0.8979020979020979,0.017669227498311835,0.8947552447552447,0.015550184788644455
13.0,0.9529032258064518,0.0145170722198769,0.8725806451612904,0.021023173431461442,0.9483870967741936,0.013238430349485882
14.0,0.8829787234042554,0.024405929135166135,0.8691489361702127,0.054474996062126024,0.8840425531914894,0.0490431665385417
15.0,0.9963235294117647,0.006533259681166435,0.9963235294117647,0.006533259681166435,0.9955882352941176,0.006914152146788611
16.0,0.7976190476190477,0.06712161273605051,0.816666666666667,0.07919363269607844,0.788095238095238,0.0794944642928326
17.0,0.917241379310345,0.02462420337304815,0.914367816091954,0.02458887958011993,0.9344827586206896,0.027931893364342406
18.0,0.9418478260869566,0.022100824039873915,0.9744565217391303,0.017729478125077528,0.9809782608695654,0.01162960603561561
19.0,0.887857142857143,0.03912990291102183,0.8871428571428572,0.04194518442253654,0.8928571428571429,0.03807957071308451
21.0,0.8508620689655173,0.045881441809811206,0.8793103448275861,0.04713455140914904,0.8750000000000002,0.05505744600504355
22.0,0.96,0.03030063786409057,0.9616666666666663,0.02169700979209183,0.9658333333333333,0.027823062502491412
23.0,0.9732000000000001,0.012250026852816983,0.9816,0.009394287177798406,0.9831999999999999,0.008166684568544655
24.0,0.9442176870748298,0.022246808507799365,0.9625850340136053,0.017998308238534617,0.9653061224489798,0.015275260288995583
