KNN_acc,SLP_acc,MLP_acc,SVC_acc
0.7202558635394456,0.2187633262260128,0.6904051172707889,0.4660980810234542
0.7040511727078891,0.2678038379530917,0.6865671641791045,0.48017057569296373
0.7155650319829424,0.2375266524520256,0.6793176972281451,0.44349680170575695
0.711727078891258,0.2498933901918977,0.693816631130064,0.46993603411513857
0.7164179104477612,0.26652452025586354,0.6707889125799573,0.464818763326226
0.7219616204690832,0.2609808102345416,0.6823027718550106,0.4660980810234542
0.7164179104477612,0.2426439232409381,0.6895522388059702,0.46140724946695094
0.7049040511727079,0.21918976545842211,0.6878464818763326,0.45714285714285713
0.7091684434968017,0.20426439232409385,0.646908315565032,0.45245202558635395
0.7078891257995735,0.2447761194029851,0.6835820895522388,0.47761194029850745
0.7304904051172708,0.2426439232409381,0.6886993603411514,0.4690831556503198
0.7159914712153518,0.2481876332622601,0.6797441364605543,0.4767590618336887
0.7130063965884862,0.2196162046908316,0.6776119402985075,0.46439232409381664
0.7151385927505329,0.2447761194029851,0.6631130063965884,0.4724946695095949
0.7185501066098081,0.24776119402985075,0.6788912579957356,0.4537313432835821
