mean,std,50%,chb,channel
0.7281609195402299,0.055473442735042525,0.7298850574712643,17,0
0.8494252873563217,0.03072938239971326,0.8563218390804597,17,1
0.878735632183908,0.028025093134043076,0.8850574712643678,17,2
0.8597701149425289,0.02462420337304819,0.867816091954023,17,3
0.7666666666666666,0.029623312795946037,0.7701149425287356,17,4
0.9103448275862067,0.031111687258802503,0.9195402298850575,17,5
0.8873563218390805,0.018868567394669494,0.8850574712643678,17,6
0.8,0.028498720910707393,0.8045977011494253,17,7
0.6850574712643678,0.04924840674609634,0.6839080459770115,17,8
0.8873563218390806,0.03389291858568221,0.8908045977011494,17,9
0.9011494252873561,0.03322991236543943,0.9080459770114943,17,10
0.9155172413793103,0.02481408294932261,0.9080459770114943,17,11
0.7373563218390803,0.04321320971376834,0.735632183908046,17,12
0.8074712643678161,0.042170793031247676,0.8160919540229885,17,13
0.8086206896551724,0.028222890687915225,0.8045977011494253,17,14
0.8988505747126437,0.02926909544190406,0.9022988505747127,17,15
0.864942528735632,0.022645658783115315,0.8620689655172413,17,16
0.7821839080459769,0.03643877582562612,0.7816091954022989,17,17
